vid_dir,paired_vid_dir,output_dir
/data/kyungbok/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00076/00109.wav,/data/kyungbok/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01637/00002.wav,/data/kyungbok/FakeAVCeleb_v1.2/RealVideo-FakeAudio/African/men/id01637/00002_fake_sync.wav
/data/kyungbok/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00166/00010.wav,/data/kyungbok/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01972/00078.wav,/data/kyungbok/FakeAVCeleb_v1.2/RealVideo-FakeAudio/African/men/id01972/00078_fake_sync.wav
/data/kyungbok/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00173/00118.wav,/data/kyungbok/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01076/00005.wav,/data/kyungbok/FakeAVCeleb_v1.2/RealVideo-FakeAudio/African/men/id01076/00005_fake_sync.wav
/data/kyungbok/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00366/00118.wav,/data/kyungbok/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00987/00160.wav,/data/kyungbok/FakeAVCeleb_v1.2/RealVideo-FakeAudio/African/men/id00987/00160_fake_sync.wav
/data/kyungbok/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00391/00052.wav,/data/kyungbok/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01207/00320.wav,/data/kyungbok/FakeAVCeleb_v1.2/RealVideo-FakeAudio/African/men/id01207/00320_fake_sync.wav
/data/kyungbok/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00475/00099.wav,/data/kyungbok/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id02342/00191.wav,/data/kyungbok/FakeAVCeleb_v1.2/RealVideo-FakeAudio/African/men/id02342/00191_fake_sync.wav
/data/kyungbok/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00476/00109.wav,/data/kyungbok/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01170/00021.wav,/data/kyungbok/FakeAVCeleb_v1.2/RealVideo-FakeAudio/African/men/id01170/00021_fake_sync.wav
/data/kyungbok/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00478/00206.wav,/data/kyungbok/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00076/00109.wav,/data/kyungbok/FakeAVCeleb_v1.2/RealVideo-FakeAudio/African/men/id00076/00109_fake_sync.wav
/data/kyungbok/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00518/00031.wav,/data/kyungbok/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01544/00044.wav,/data/kyungbok/FakeAVCeleb_v1.2/RealVideo-FakeAudio/African/men/id01544/00044_fake_sync.wav
/data/kyungbok/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00701/00092.wav,/data/kyungbok/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01598/00044.wav,/data/kyungbok/FakeAVCeleb_v1.2/RealVideo-FakeAudio/African/men/id01598/00044_fake_sync.wav
/data/kyungbok/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00761/00072.wav,/data/kyungbok/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00173/00118.wav,/data/kyungbok/FakeAVCeleb_v1.2/RealVideo-FakeAudio/African/men/id00173/00118_fake_sync.wav
/data/kyungbok/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00781/00092.wav,/data/kyungbok/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01392/00167.wav,/data/kyungbok/FakeAVCeleb_v1.2/RealVideo-FakeAudio/African/men/id01392/00167_fake_sync.wav
/data/kyungbok/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00830/00143.wav,/data/kyungbok/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00761/00072.wav,/data/kyungbok/FakeAVCeleb_v1.2/RealVideo-FakeAudio/African/men/id00761/00072_fake_sync.wav
/data/kyungbok/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00944/00135.wav,/data/kyungbok/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01521/00109.wav,/data/kyungbok/FakeAVCeleb_v1.2/RealVideo-FakeAudio/African/men/id01521/00109_fake_sync.wav
/data/kyungbok/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00987/00160.wav,/data/kyungbok/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01452/00001.wav,/data/kyungbok/FakeAVCeleb_v1.2/RealVideo-FakeAudio/African/men/id01452/00001_fake_sync.wav
/data/kyungbok/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01036/00010.wav,/data/kyungbok/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01179/00160.wav,/data/kyungbok/FakeAVCeleb_v1.2/RealVideo-FakeAudio/African/men/id01179/00160_fake_sync.wav
/data/kyungbok/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01076/00005.wav,/data/kyungbok/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id00781/00092.wav,/data/kyungbok/FakeAVCeleb_v1.2/RealVideo-FakeAudio/African/men/id00781/00092_fake_sync.wav
/data/kyungbok/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01170/00021.wav,/data/kyungbok/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01779/00010.wav,/data/kyungbok/FakeAVCeleb_v1.2/RealVideo-FakeAudio/African/men/id01779/00010_fake_sync.wav
/data/kyungbok/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01171/00053.wav,/data/kyungbok/FakeAVCeleb_v1.2/RealVideo-RealAudio/African/men/id01236/00005.wav,/data/kyungbok/FakeAVCeleb_v1.2/RealVideo-FakeAudio/African/men/id01236/00005_fake_sync.wav
